Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,0.157500,0.158333,0.156666,0.158333,0.131032,186000
2017-02-02,0.158333,0.158333,0.156666,0.156666,0.129652,549000
2017-02-03,0.156666,0.157500,0.156666,0.156666,0.129652,817800
2017-02-06,0.158333,0.164166,0.158333,0.161666,0.133790,2658600
2017-02-07,0.161666,0.162500,0.160833,0.161666,0.133790,900000
2017-02-08,0.161666,0.161666,0.160833,0.160833,0.133101,534000
2017-02-09,0.160833,0.164166,0.160833,0.164166,0.135859,1725000
2017-02-10,0.163333,0.170000,0.162500,0.170000,0.140687,3852000
2017-02-13,0.170000,0.178333,0.170000,0.177500,0.146894,3285600
2017-02-14,0.175000,0.180833,0.174166,0.180833,0.149652,1116000
2017-02-15,0.180833,0.205000,0.180833,0.201666,0.166893,5656800
2017-02-16,0.200833,0.205000,0.195000,0.199166,0.164824,1938000
2017-02-17,0.199166,0.199166,0.196666,0.196666,0.162755,545400
2017-02-20,0.200000,0.200000,0.188333,0.195000,0.161377,1768200
2017-02-21,0.195833,0.198333,0.195000,0.197500,0.163446,319800
2017-02-22,0.198333,0.200833,0.195833,0.195833,0.162066,612000
2017-02-23,0.198333,0.201666,0.196666,0.201666,0.166893,813000
2017-02-24,0.204166,0.204166,0.188333,0.195000,0.161377,4847400
2017-02-27,0.196666,0.200000,0.196666,0.198333,0.164135,1354800
2017-02-28,0.198333,0.200000,0.195000,0.195833,0.162066,721200
2017-03-01,0.198333,0.198333,0.196666,0.198333,0.164135,564600
2017-03-02,0.199166,0.200000,0.197500,0.198333,0.164135,482400
2017-03-03,0.204166,0.221666,0.204166,0.218333,0.180686,3823200
2017-03-06,0.219166,0.233333,0.219166,0.232500,0.192411,2446800
2017-03-07,0.233333,0.258333,0.233333,0.251666,0.208272,2142600
2017-03-08,0.258333,0.261666,0.254166,0.259166,0.214479,2647200
2017-03-09,0.265833,0.280000,0.265833,0.276666,0.228961,7866600
2017-03-10,0.283333,0.336666,0.283333,0.311666,0.257926,9486000
2017-03-13,0.328333,0.343333,0.327500,0.333333,0.275857,4343400
2017-03-14,0.331666,0.331666,0.286666,0.305833,0.253099,3773400
2017-03-15,0.300833,0.313333,0.294166,0.309166,0.255857,2613000
2017-03-16,0.315833,0.315833,0.303333,0.306666,0.253788,508800
2017-03-17,0.308333,0.315833,0.307500,0.314166,0.259995,2651400
2017-03-20,0.316666,0.323333,0.316666,0.319166,0.264133,950400
2017-03-21,0.320000,0.346666,0.320000,0.345000,0.285512,6949800
2017-03-22,0.335000,0.341666,0.331666,0.336666,0.278615,2915400
2017-03-23,0.338333,0.345000,0.338333,0.343333,0.284133,1595400
2017-03-24,0.341666,0.383333,0.326666,0.366666,0.303443,4357200
2017-03-27,0.371666,0.375000,0.341666,0.346666,0.286891,2940000
2017-03-28,0.350000,0.356666,0.346666,0.350000,0.289650,1897200
2017-03-29,0.363333,0.365000,0.353333,0.356666,0.295167,2412600
2017-03-30,0.355000,0.360000,0.350000,0.355000,0.293788,823800
2017-03-31,0.353333,0.355000,0.350000,0.353333,0.292409,419400
2017-04-03,0.358333,0.360000,0.350000,0.356666,0.295167,1543200
2017-04-04,0.360000,0.360000,0.350000,0.350000,0.289650,709200
2017-04-05,0.353333,0.358333,0.351666,0.355000,0.293788,1521000
2017-04-06,0.353333,0.356666,0.350000,0.350000,0.289650,1900800
2017-04-07,0.362500,0.395000,0.358750,0.371250,0.307236,3347200
2017-04-10,0.371250,0.383750,0.371250,0.380000,0.314477,1468400
